Country,Code,Year,CO2
Afghanistan,AFG,2021,0.29611897
Africa,,2021,1.0414075
Albania,ALB,2021,1.618066
Algeria,DZA,2021,3.9899774
Andorra,AND,2021,5.7286263
Angola,AGO,2021,0.6191414
Anguilla,AIA,2021,9.173204
Antigua and Barbuda,ATG,2021,5.027352
Argentina,ARG,2021,4.117966
Armenia,ARM,2021,2.4385939
Aruba,ABW,2021,8.054269
Asia,,2021,4.6212344
Asia (excl. China and India),,2021,4.036258
Australia,AUS,2021,15.091471
Austria,AUT,2021,7.243327
Azerbaijan,AZE,2021,3.7324574
Bahamas,BHS,2021,5.8503213
Bahrain,BHR,2021,26.663702
Bangladesh,BGD,2021,0.5501772
Barbados,BRB,2021,4.0017247
Belarus,BLR,2021,6.2227383
Belgium,BEL,2021,8.243808
Belize,BLZ,2021,1.7231431
Benin,BEN,2021,0.5967434
Bermuda,BMU,2021,8.533475
Bhutan,BTN,2021,1.9576669
Bolivia,BOL,2021,1.9306858
Bonaire Sint Eustatius and Saba,BES,2021,3.8679013
Bosnia and Herzegovina,BIH,2021,4.1475167
Botswana,BWA,2021,2.5111492
Brazil,BRA,2021,2.281014
British Virgin Islands,VGB,2021,5.0900307
Brunei,BRN,2021,23.531528
Bulgaria,BGR,2021,6.1808095
Burkina Faso,BFA,2021,0.25783187
Burundi,BDI,2021,0.055206448
Cambodia,KHM,2021,1.1470591
Cameroon,CMR,2021,0.3418291
Canada,CAN,2021,14.3004675
Cape Verde,CPV,2021,1.1356577
Central African Republic,CAF,2021,0.041650932
Chad,TCD,2021,0.11291891
Chile,CHL,2021,4.3834257
China,CHN,2021,8.04574
Colombia,COL,2021,1.7800757
Comoros,COM,2021,0.3629009
Congo,COG,2021,1.2790622
Cook Islands,COK,2021,5.367806
Costa Rica,CRI,2021,1.5171846
Cote d'Ivoire,CIV,2021,0.42603302
Croatia,HRV,2021,4.3598137
Cuba,CUB,2021,1.9595414
Curacao,CUW,2021,9.686285
Cyprus,CYP,2021,6.1087165
Czechia,CZE,2021,9.241809
Democratic Republic of Congo,COD,2021,0.027182981
Denmark,DNK,2021,5.0522227
Djibouti,DJI,2021,0.34297308
Dominica,DMA,2021,2.188569
Dominican Republic,DOM,2021,2.6014054
East Timor,TLS,2021,0.5574256
Ecuador,ECU,2021,2.321741
Egypt,EGY,2021,2.2846344
El Salvador,SLV,2021,1.1409876
Equatorial Guinea,GNQ,2021,3.1966193
Eritrea,ERI,2021,0.22666506
Estonia,EST,2021,7.86407
Eswatini,SWZ,2021,0.91188765
Ethiopia,ETH,2021,0.14792238
Europe,,2021,7.112357
Europe (excl. EU-27),,2021,8.349364
Europe (excl. EU-28),,2021,9.269164
European Union (27),,2021,6.275719
European Union (28),,2021,6.1284246
Faroe Islands,FRO,2021,13.197505
Fiji,FJI,2021,1.5902857
Finland,FIN,2021,6.7923503
France,FRA,2021,4.7413116
French Guiana,GUF,2021,2.189799
French Polynesia,PYF,2021,3.1239517
Gabon,GAB,2021,2.4399939
